title,author,price,edition
Advanced Web Development,Micki Walsham,199.46,6
Quick Python Guide,Lorens Gemmell,175.03,2
The Quiet Book,Margarete Haston,65.79,4
Quick Python Guide,Cacilie Erat,170.14,2
Advanced Web Development,Gabie Wingeat,50.84,5
Django Query Basics,Una Aleswell,90.83,2
Advanced Web Development,Glory Brikner,95.97,1
Query and Data Structures,Cthrine Fike,72.21,1
The Quiet Book,Malia Stailey,96.84,6
Query and Data Structures,Francois Thowless,123.75,1
Django Query Basics,Ashbey Goldin,91.17,5
Quick Python Guide,Kass Joslyn,61.35,4
Django Query Basics,Gene Sarfat,78.76,5
Query and Data Structures,Ardis Vannini,165.19,5
Quick Python Guide,Vilhelmina Pherps,60.95,3exit
Django Query Basics,Hillyer Nardrup,161.42,1
Query and Data Structures,Celka Nund,66.67,6
Query and Data Structures,Midge Jessope,77.44,3
Query and Data Structures,Merline Bertin,68.55,4
Quick Python Guide,Ricca Narrie,158.15,6
Query and Data Structures,Eberto Imlacke,93.16,3
Advanced Web Development,Briana Masdon,142.62,3
Learning SQL,Robinson Wilcot,75.34,6
Quick Python Guide,Arel Sothcott,158.19,3
Quick Python Guide,Dyanna Davinet,130.74,5
Advanced Web Development,Alika Broomfield,117.4,2
The Quiet Book,Carolyne Raoux,104.33,2
Query and Data Structures,Dukey Jewster,61.92,1
Query and Data Structures,Filbert Grishmanov,67.07,2
Query and Data Structures,Magdalene Muck,197.71,3
